N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
152,오뚜기,"530,000","3,000",-0.56%,"5,000","19,461","3,672",12.89,"7,699",20.10,7.93,
153,한전KPS,"42,900",250,+0.59%,200,"19,305","45,000",8.47,"458,303",17.89,8.23,
154,금호타이어,"6,700",50,-0.74%,"5,000","19,246","287,260",4.30,"529,264",-126.42,-6.74,
155,LS ELECTRIC,"63,700",700,+1.11%,"5,000","19,110","30,000",14.71,"262,576",24.29,6.15,
156,대웅제약,"164,000","8,000",+5.13%,"2,500","19,002","11,587",5.13,"549,566",-172.27,2.38,
157,현대백화점,"80,600",400,-0.49%,"5,000","18,862","23,402",18.92,"66,086",19.35,1.65,
158,롯데정밀화학,"72,600","1,300",-1.76%,"5,000","18,731","25,800",19.95,"123,558",9.55,12.65,
159,한미반도체,"37,750",350,-0.92%,200,"18,671","49,460",9.28,"498,102",30.84,21.03,
160,KODEX 삼성그룹,"10,515",20,-0.19%,0,"18,086","172,000",0.02,"188,888",N/A,N/A,
161,대한유화,"269,000","5,500",-2.00%,"5,000","17,485","6,500",14.96,"101,192",7.67,6.93,
162,솔루스첨단소재,"57,100","1,300",-2.23%,100,"17,467","30,590",8.27,"275,582",-157.73,-5.10,
163,영원무역,"39,350",650,-1.62%,500,"17,437","44,311",27.34,"57,769",11.28,8.03,
164,한국앤컴퍼니,"18,100",100,-0.55%,500,"17,183","94,935",9.85,"196,488",8.34,5.08,
165,프레스티지바이오파마,"28,300",50,+0.18%,0,"17,007","60,096",63.77,"146,278",-84.23,N/A,
166,아이에스동서,"54,200",500,-0.91%,500,"16,744","30,893",4.46,"37,542",13.10,10.92,
167,KG동부제철,"16,400",300,-1.80%,"5,000","16,401","100,009",1.20,"261,519",18.18,7.18,
168,두산,"98,500","1,300",-1.30%,"5,000","16,276","16,524",11.02,"46,172",-11.85,-34.34,
169,DL,"76,900","1,200",-1.54%,"5,000","16,115","20,956",15.79,"107,568",4.12,11.84,
170,명신산업,"30,550",300,+0.99%,500,"16,030","52,470",1.23,"443,803",-13.25,-67.39,
171,지누스,"99,400","1,100",-1.09%,500,"15,706","15,800",23.03,"38,746",32.81,11.61,
172,NHN,"78,600","1,600",-2.00%,500,"15,378","19,565",12.98,"75,155",57.37,1.35,
173,SK네트웍스,"6,190",10,-0.16%,"2,500","15,363","248,188",13.60,"902,049",14.84,1.63,
174,DGB금융지주,"9,080",80,+0.89%,"5,000","15,358","169,146",48.42,"651,133",4.18,6.93,
175,에스엘,"31,800",750,-2.30%,500,"15,329","48,203",16.93,"94,259",13.89,4.74,
176,솔루엠,"30,500",100,+0.33%,500,"15,191","49,806",8.40,"711,216",29.84,43.26,
177,JB금융지주,"7,650",260,+3.52%,"5,000","15,069","196,983",40.74,"1,970,510",3.77,10.06,
178,녹십자홀딩스,"31,600",750,-2.32%,500,"14,861","47,028",4.70,"151,243",8.39,19.74,
179,종근당,"130,000",0,0.00%,"2,500","14,854","11,426",7.69,"27,472",16.73,17.88,
180,부광약품,"20,450",100,-0.49%,500,"14,532","71,063",3.80,"325,111",-153.76,-2.46,
181,LG생활건강우,"689,000",0,0.00%,"5,000","14,467","2,100",85.61,"4,394",14.85,N/A,
182,롯데리츠,"5,930",10,+0.17%,500,"14,408","242,969",10.22,"176,344",34.48,1.83,
183,KODEX 단기채권PLUS,"103,150",10,-0.01%,0,"14,314","13,877",0.00,"763,191",N/A,N/A,
184,코스맥스,"125,500","3,000",-2.33%,500,"14,244","11,350",24.06,"53,677",39.48,6.23,
185,신세계인터내셔날,"195,500","1,000",-0.51%,"5,000","13,959","7,140",5.46,"12,577",20.04,8.24,
186,KODEX 종합채권(AA-이상)액티브,"109,770",35,-0.03%,0,"13,925","12,686",0.00,"4,379",N/A,N/A,
187,KODEX 레버리지,"27,610",255,-0.92%,0,"13,805","50,000",2.93,"11,001,268",N/A,N/A,
188,롯데관광개발,"19,500",200,-1.02%,500,"13,509","69,276",6.41,"277,919",-10.91,-30.43,
189,아시아나항공,"18,000",50,-0.28%,"5,000","13,394","74,412",19.73,"640,216",-19.96,-43.83,
190,LG전자우,"76,600",0,0.00%,"5,000","13,164","17,186",41.12,"45,435",7.14,N/A,
191,티와이홀딩스,"32,550",500,-1.51%,500,"13,076","40,172",6.06,"158,022",1.23,N/A,
192,두산인프라코어,"16,400",50,+0.31%,"5,000","12,843","78,309",9.05,"2,154,029",15.60,6.47,
193,영풍,"692,000","2,000",+0.29%,"5,000","12,747","1,842",4.43,"1,663",9.31,4.03,
194,한국콜마,"55,500",600,-1.07%,500,"12,699","22,881",26.50,"84,943",7.93,29.27,
195,KODEX 200TR,"13,970",45,-0.32%,0,"12,657","90,600",0.02,"18,595",N/A,N/A,
196,TIGER TOP10,"14,670",145,-0.98%,0,"12,624","86,050",0.19,"205,718",N/A,N/A,
197,롯데칠성,"136,000","1,000",+0.74%,500,"12,619","9,279",8.59,"37,724",183.29,-1.00,
198,효성화학,"394,500","14,500",-3.55%,"5,000","12,585","3,190",10.01,"30,570",43.07,-2.71,
199,세방전지,"89,700","1,100",-1.21%,500,"12,558","14,000",25.55,"45,662",16.28,6.14,
200,이노션,"62,300",200,+0.32%,500,"12,460","20,000",30.13,"21,627",21.21,8.28,
